"","product","Item_code","dietgroup","SQ_g","SQ_kcal","SQ_prot","SQ_fat","DGErec_g","DGErec_kcal","DGErec_prot","DGErec_fat","kcal_data","prot_data","fat_data"
"1","Rice (Milled Equivalent)","2805","Cereals and potatoes",7.05926088534913,25.4133391872569,0.472970479318392,0.0494148261974439,9.86480050665659,35.5132818239637,0.660941633945991,0.0690536035465961,3.6,0.067,0.007
"2","Wheat and products","2511","Cereals and potatoes",159.420938668252,532.465935151962,19.4493545175267,3.6666815893698,222.779095728017,744.082179731577,27.1790496788181,5.12391920174439,3.34,0.122,0.023
"3","Barley and products","2513","Cereals and potatoes",0.580357104202262,1.92678558595151,0.0638392814622488,0.0104464278756407,0.811006583912797,2.69254185859048,0.0892107242304076,0.0145981185104303,3.32,0.11,0.018
"4","Maize and products","2514","Cereals and potatoes",23.3557003945602,83.1462934046343,2.21879153748322,1.00429511696609,32.6378821844862,116.190860576771,3.10059880752619,1.40342893393291,3.56,0.095,0.043
"5","Rye and products","2515","Cereals and potatoes",18.2751958010389,58.297874605314,2.01027153811428,0.347228720219738,25.5382487947845,81.4670136553624,2.80920736742629,0.485226727100905,3.19,0.11,0.019
"6","Oats","2516","Cereals and potatoes",2.95676381360763,11.3835406823894,0.384379295768992,0.221757286020572,4.13186106028122,15.9076650820827,0.537141937836559,0.309889579521092,3.85,0.13,0.075
"7","Millet and products","2517","Cereals and potatoes",0.240160474614309,0.81654561368865,0.023295566037588,0.00720481423842927,0.33560668887745,1.14106274218333,0.0325538488211127,0.0100682006663235,3.4,0.097,0.03
"8","Sorghum and products","2518","Cereals and potatoes",0,0,0,0,0,0,0,0,3.43,0.101,0.033
"9","Cereals. Other","2520","Cereals and potatoes",1.28915310443664,4.38312055508459,0.103132248354932,0.0193372965665497,1.80149712616487,6.12509022896055,0.144119770093189,0.027022456892473,3.4,0.08,0.015
"10","Potatoes and products","2531","Cereals and potatoes",110.859097963004,74.2755956352129,1.77374556740807,0.110859097963004,154.917476987231,103.794709581445,2.4786796317957,0.154917476987231,0.67,0.016,0.001
"11","Cassava and products","2532","Cereals and potatoes",0,0,0,0,0,0,0,0,1.09,0.009,0.002
"12","Sweet potatoes","2533","Cereals and potatoes",0,0,0,0,0,0,0,0,0.92,0.007,0.002
"13","Roots. Other","2534","Cereals and potatoes",0.000587765950564124,0.000534867015013352,9.40425520902598e-06,1.17553190112825e-06,0.000821359904541011,0.00074743751313232,1.31417584726562e-05,1.64271980908202e-06,0.91,0.016,0.002
"14","Yams","2535","Cereals and potatoes",0,0,0,0,0,0,0,0,1.01,0.013,0.002
"17","Beans","2546","vegetables incl. legumes",0.237910262087345,0.811273993717845,0.0525781679213032,0.00404447445548486,0.459638548434485,1.56736745016159,0.101580119204021,0.00781385532338625,3.41,0.221,0.017
"18","Peas","2547","vegetables incl. legumes",1.0432934141892,3.60979521309464,0.234741018192571,0.0187792814554057,2.01562499356639,6.97406247773973,0.453515623552439,0.0362812498841951,3.46,0.225,0.018
"19","Pulses. Other and products","2549","vegetables incl. legumes",0.369036037187398,1.25472252643715,0.0811879281812277,0.00738072074374797,0.712971298356841,2.42410241441326,0.156853685638505,0.0142594259671368,3.4,0.22,0.02
"20","Nuts and products","2551","vegetables incl. legumes",16.3458905501702,42.8262332414459,1.14421233851191,4.08647263754255,31.5799803649951,82.7395485562873,2.21059862554966,7.89499509124879,2.62,0.07,0.25
"21","Soyabeans","2555","vegetables incl. legumes",2.1809804426735,7.30628448295622,0.828772568215929,0.39257647968123,4.21361683199025,14.1156163871673,1.6011743961563,0.758451029758245,3.35,0.38,0.18
"22","Groundnuts (Shelled Eq)","2556","vegetables incl. legumes",3.1457817253588,17.8365823827844,0.808465903417213,1.54772460887653,6.07759637289125,34.4599714342934,1.56194226783305,2.99017741546249,5.67,0.257,0.492
"23","Sunflower seed","2557","vegetables incl. legumes",0,0,0,0,0,0,0,0,3.08,0.123,0.268
"24","Rape and Mustardseed","2558","vegetables incl. legumes",0.709129825772797,3.50310133931762,0.138989445851468,0.319108421597759,1.37002666850135,6.76793174239667,0.268525227026265,0.616512000825607,4.94,0.196,0.45
"25","Seed cotton","328","vegetables incl. legumes",0,0,0,0,0,0,0,0,2.53,0.173,0.179
"26","Coconuts - Incl Copra","2560","vegetables incl. legumes",1.26912639970407,2.33519257545549,0.0215751487949692,0.220827993548508,2.4519304506743,4.51155202924071,0.0416828176614631,0.426635898417328,1.84,0.017,0.174
"27","Sesame seed","2561","vegetables incl. legumes",0,0,0,0,0,0,0,0,5.73,0.177,0.497
"28","Oil. palm fruit","254","vegetables incl. legumes",0,0,0,0,0,0,0,0,1.58,0.003,0.132
"29","Olives (including preserved)","2563","vegetables incl. legumes",1.98491077575658,3.47359385757402,0.0258038400848356,0.347359385757402,3.83481359625325,6.71092379344319,0.0498525767512923,0.671092379344319,1.75,0.013,0.175
"30","Oilcrops. Other","2570","vegetables incl. legumes",0.276978933179537,1.07190847140481,0.040715903177392,0.0878023218179133,0.535118551325184,2.07090879362846,0.0786624270448021,0.169632580770083,3.87,0.147,0.317
"31","Tomatoes and products","2601","vegetables incl. legumes",36.0952152527805,6.13618659297269,0.288761722022244,0.072190430505561,69.7353371756924,11.8550073198677,0.557882697405539,0.139470674351385,0.17,0.008,0.002
"32","Onions","2602","vegetables incl. legumes",11.1631366950987,3.46057237548061,0.122794503646086,0.0223262733901975,21.566988752369,6.68576651323439,0.237236876276059,0.043133977504738,0.31,0.011,0.002
"33","Vegetables. Other","2605","vegetables incl. legumes",126.39115342601,27.8060537537221,1.76947614796413,0.252782306852019,244.185542002232,53.7208192404911,3.41859758803125,0.488371084004464,0.22,0.014,0.002
"34","Oranges. Mandarines","2611","Fruits",29.1944916216949,9.92612715137627,0.204361441351864,0.0291944916216949,46.1312558615895,15.6846269929404,0.322918791031127,0.0461312558615895,0.34,0.007,0.001
"35","Lemons. Limes and products","2612","Fruits",2.84588804448314,0.426883206672471,0.0170753282668988,0.00569177608896628,4.49688904450491,0.674533356675737,0.0269813342670295,0.00899377808900983,0.15,0.006,0.002
"36","Grapefruit and products","2613","Fruits",2.30761272653036,0.369218036244858,0.0069228381795911,0.00230761272653037,3.64634104599121,0.583414567358593,0.0109390231379736,0.00364634104599121,0.16,0.003,0.001
"37","Citrus. Other","2614","Fruits",3.77612559475371,0.981792654635964,0.0188806279737685,0.00755225118950741,5.96679052453961,1.5513655363803,0.0298339526226981,0.0119335810490792,0.26,0.005,0.002
"38","Bananas","2615","Fruits",20.7359351494765,12.4415610896859,0.145151546046335,0.0622078054484294,32.7655895607026,19.6593537364216,0.229359126924918,0.0982967686821079,0.6,0.007,0.003
"39","Plantains","2616","Fruits",0.0260633761922701,0.0195475321442026,0.000208507009538161,7.81901285768103e-05,0.041183668868856,0.030887751651642,0.000329469350950848,0.000123551006606568,0.75,0.008,0.003
"40","Apples and products","2617","Fruits",34.8904756659333,16.747428319648,0.0348904756659333,0.1046714269978,55.131683090575,26.463207883476,0.055131683090575,0.165395049271725,0.48,0.001,0.003
"41","Pineapples and products","2618","Fruits",5.8807504669435,1.52899512140531,0.011761500933887,0.011761500933887,9.29238323325128,2.41601964064533,0.0185847664665026,0.0185847664665026,0.26,0.002,0.002
"42","Dates","2619","Fruits",0.170091837095635,0.26534326586919,0.00255137755643452,0.000680367348382539,0.268768168964985,0.419278343585376,0.00403152253447477,0.00107507267585994,1.56,0.015,0.004
"43","Grapes and products (excl wine)","2620","Fruits",15.7649836169683,8.35544131699321,0.0788249180848416,0.0630599344678733,24.9108120227617,13.2027303720637,0.124554060113808,0.0996432480910467,0.53,0.005,0.004
"44","Fruits. Other","2625","Fruits",46.7968307488778,21.058573836995,0.233984153744389,0.233984153744389,73.9453387564298,33.2754024403934,0.369726693782149,0.369726693782149,0.45,0.005,0.005
"48","Hops","677","vegetables incl. legumes",0,0,0,0,0,0,0,0,0,0,0
"49","Pepper","2640","vegetables incl. legumes",0.479344385049245,1.32299050273592,0.0512898492002692,0.0129422983963296,0.926085135677617,2.55599497447022,0.099091109517505,0.0250042986632957,2.76,0.107,0.027
"50","Pimento","2641","vegetables incl. legumes",0.436526044173029,1.38815282047023,0.0523831253007635,0.0755190056419341,0.843360835035675,2.68188745541345,0.101203300204281,0.145901424461172,3.18,0.12,0.173
"51","Cloves","2642","vegetables incl. legumes",0.013175007229263,0.0425552733505195,0.000790500433755779,0.00264817645308186,0.0254538881397601,0.0822160586914253,0.00152723328838561,0.00511623151609179,3.23,0.06,0.201
"52","Spices. Other","2645","vegetables incl. legumes",0.98781343158787,3.32893126445112,0.111622917769429,0.15311108189612,1.90843861813932,6.43143814312952,0.215653563849743,0.295807985811595,3.37,0.113,0.155
"64","Palm kernels","2562","vegetables incl. legumes",0,0,0,0,0,0,0,0,5.14,0.073,0.434
"65","Sugar non-centrifugal","2541","Alcohol, sugar and honey",0,0,0,0,0,0,0,0,3.51,0.01,0
"66","Molasses","2544","Alcohol, sugar and honey",0,0,0,0,0,0,0,0,2.32,0,0
"67","Sugar. Refined Equiv","2818","Alcohol, sugar and honey",70.7959678863051,273.980395720001,0,0,28.0969898846386,108.735350853551,0,0,3.87,0,0
"68","Sweeteners. Other","2543","Alcohol, sugar and honey",24.8876887102994,77.1518350019282,0,0,9.8772452559489,30.6194602934416,0,0,3.1,0,0
"69","Soyabean Oil","2571","Vegetable oils",12.2892689783287,108.637137768426,0,12.2892689783287,7.89216549787737,69.7667430012359,0,7.89216549787737,8.84,0,1
"70","Groundnut Oil","2572","Vegetable oils",0.120842818583546,1.06825051627855,0,0.120842818583546,0.0776052282013782,0.686030217300183,0,0.0776052282013782,8.84,0,1
"71","Sunflowerseed Oil","2573","Vegetable oils",7.90420976964532,69.8732143636646,0,7.90420976964532,5.07608155879615,44.8725609797579,0,5.07608155879615,8.84,0,1
"72","Rape and Mustard Oil","2574","Vegetable oils",12.9180377252786,114.195453491463,0,12.9180377252786,8.29596063162963,73.3362919836059,0,8.29596063162963,8.84,0,1
"73","Cottonseed Oil","2575","Vegetable oils",0,0,0,0,0,0,0,0,8.84,0,1
"74","Palmkernel Oil","2576","Vegetable oils",0,0,0,0,0,0,0,0,8.84,0,1
"75","Palm Oil","2577","Vegetable oils",7.23211775757939,63.9319209770018,0,7.23211775757939,4.64446423490329,41.0570638365451,0,4.64446423490329,8.84,0,1
"76","Coconut Oil","2578","Vegetable oils",0.119838510146906,1.05937242969865,0,0.119838510146906,0.0769602615718044,0.680328712294751,0,0.0769602615718044,8.84,0,1
"77","Sesameseed Oil","2579","Vegetable oils",0.368321862581435,3.25596526521988,0,0.368321862581435,0.236536209037752,2.09098008789373,0,0.236536209037752,8.84,0,1
"78","Olive Oil","2580","Vegetable oils",1.88657910243897,16.6773592655605,0,1.88657910243897,1.21156063290187,10.7101959948526,0,1.21156063290187,8.84,0,1
"79","Ricebran Oil","2581","Vegetable oils",9.20120487962829e-05,0.000813386511359141,0,9.20120487962829e-05,5.90901149758859e-05,0.000522356616386831,0,5.90901149758859e-05,8.84,0,1
"80","Maize Germ Oil","2582","Vegetable oils",0.360404775711787,3.1859782172922,0,0.360404775711787,0.23145185780852,2.04603442302732,0,0.23145185780852,8.84,0,1
"81","Oilcrops Oil. Other","2586","Vegetable oils",3.80729088600229,33.6564514322603,0,3.80729088600229,2.44504126517838,21.6141647841768,0,2.44504126517838,8.84,0,1
"91","Wine","2655","Alcohol, sugar and honey",58.0841225525732,39.4972033357498,0,0,23.0520049734846,15.6753633819695,0,0,0.68,0,0
"92","Beer","2656","Alcohol, sugar and honey",238.404495122144,143.042697073286,4.52968540732073,0.715213485366431,94.6162456406646,56.7697473843987,1.79770866717263,0.283848736921994,0.6,0.019,0.003
"93","Beverages. Fermented","2657","Alcohol, sugar and honey",0.896485076384085,0.42134798590052,0.000896485076384085,0,0.355790490262732,0.167221530423484,0.000355790490262732,0,0.47,0.001,0
"94","Beverages. Alcoholic","2658","Alcohol, sugar and honey",26.9166927116443,79.4042434993506,0,0,10.6825016371207,31.5133798295059,0,0,2.95,0,0
"111","Milk - Excluding Butter","2848","Milk",614.607497644588,295.011598869402,20.2820474222714,9.21911246466882,673.594897088908,323.325550602676,22.228631603934,10.1039234563336,0.48,0.033,0.015
"112","Butter. Ghee","2740","Milk",12.1725095085302,87.2768931761613,0.109552585576771,9.87190521141796,13.3407749191722,95.653356170465,0.12006697427255,10.8193684594487,7.17,0.009,0.811
"113","Eggs","2744","Meat, sausages, fish, eggs",27.6049639621024,38.3708999073223,2.95373114394495,2.70528646828603,10.799968657531,15.0119564339681,1.15559664635582,1.05839692843804,1.39,0.107,0.098
"115","Bovine Meat","2731","Meat, sausages, fish, eggs",30.0641506574081,45.0962259861122,5.56186787162051,2.37506790193524,11.7620832710035,17.6431249065052,2.17598540513564,0.929204578409275,1.5,0.185,0.079
"116","Mutton & Goat Meat","2732","Meat, sausages, fish, eggs",1.65468184853894,4.35181326165741,0.223382049552757,0.377267461466878,0.647365891400533,1.7025722943834,0.087394395339072,0.147599423239322,2.63,0.135,0.228
"117","Pigmeat","2733","Meat, sausages, fish, eggs",117.191038972377,382.042787049948,12.8910142869614,36.3292220814367,45.8489838850263,149.467687465186,5.04338822735289,14.2131850043581,3.26,0.11,0.31
"118","Poultry Meat","2734","Meat, sausages, fish, eggs",42.8296284244738,52.252146677858,5.26804429621027,3.29788138868448,16.7563574882055,20.4427561356107,2.06103197104927,1.29023952659182,1.22,0.123,0.077
"119","Meat. Other","2735","Meat, sausages, fish, eggs",5.70456735673511,7.18775486948624,0.935549046504558,0.342274041404107,2.23181413104158,2.8120858051124,0.36601751749082,0.133908847862495,1.26,0.164,0.06
"120","Offals. Edible","2736","Meat, sausages, fish, eggs",1.69522772888152,1.7799891153256,0.3119219021142,0.0423806932220381,0.663228771623564,0.696390210204742,0.122034093978736,0.0165807192905891,1.05,0.184,0.025
"121","Fats. Animals. Raw","2737","Meat, sausages, fish, eggs",17.5853612478643,148.948009769411,0.351707224957287,16.3543859605138,6.87997095627546,58.2733539996532,0.137599419125509,6.39837298933618,8.47,0.02,0.93
"123","Meat Meal","2749","Meat, sausages, fish, eggs",0,0,0,0,0,0,0,0,2.42,0.206,0.169
"125","Honey","2745","Alcohol, sugar and honey",2.59454073630829,7.88740383837721,0.00778362220892488,0,1.02970249577503,3.13029558715608,0.00308910748732508,0,3.04,0.003,0
"127","Fish. Seafood","2960","Meat, sausages, fish, eggs",25.7335999492365,16.4695039675113,2.65056079477136,0.566139198883202,10.0678295859666,6.44341093501861,1.03698644735456,0.221492250891265,0.64,0.103,0.022
"131","Sum","NA","NA",2055.98609172671,3107.45927370572,89.1063073183202,142.785152315889,2092.34949757484,2672.17506832065,85.7153733671038,98.9543400401007,NA,NA,NA
